RequestNumber,Index Name,INDEX_NAME,Date,Open,High,Low,Close,Date_2
His63865831593827869200,,Nifty 50,8-Mar-21,15002.45,15111.15,14919.9,14956.2,8/3/2021
His63865831593827869200,,Nifty 50,9-Mar-21,15049.9,15126.85,14925.45,15098.4,9/3/2021
His63865831593827869200,,Nifty 50,10-Mar-21,15202.15,15218.45,15100.85,15174.8,10/3/2021
His63865831593827869200,,Nifty 50,12-Mar-21,15321.15,15336.3,14953.6,15030.95,12/3/2021
His63865831593827869200,,Nifty 50,15-Mar-21,15048.4,15048.4,14745.85,14929.5,15/03/2021
His63865831593827869200,,Nifty 50,16-Mar-21,14996.1,15051.6,14890.65,14910.45,16/03/2021
His63865831593827869200,,Nifty 50,17-Mar-21,14946.55,14956.55,14696.05,14721.3,17/03/2021
His63865831593827869200,,Nifty 50,18-Mar-21,14855.5,14875.2,14478.6,14557.85,18/03/2021
His63865831593827869200,,Nifty 50,19-Mar-21,14471.15,14788.25,14350.1,14744,19/03/2021
His63865831593827869200,,Nifty 50,22-Mar-21,14736.3,14763.9,14597.85,14736.4,22/03/2021
His63865831593827869200,,Nifty 50,23-Mar-21,14768.55,14878.6,14707,14814.75,23/03/2021
His63865831593827869200,,Nifty 50,24-Mar-21,14712.45,14752.35,14535,14549.4,24/03/2021
His63865831593827869200,,Nifty 50,25-Mar-21,14570.9,14575.6,14264.4,14324.9,25/03/2021
His63865831593827869200,,Nifty 50,26-Mar-21,14506.3,14572.9,14414.25,14507.3,26/03/2021
His63865831593827869200,,Nifty 50,30-Mar-21,14628.5,14876.3,14617.6,14845.1,30/03/2021
His63865831593827869200,,Nifty 50,31-Mar-21,14811.85,14813.75,14670.25,14690.7,31/03/2021
His63865831593827869200,,Nifty 50,1-Apr-21,14798.4,14883.2,14692.45,14867.35,1/4/2021
His63865831593827869200,,Nifty 50,5-Apr-21,14837.7,14849.85,14459.5,14637.8,5/4/2021
His63865831593827869200,,Nifty 50,6-Apr-21,14737,14779.1,14573.9,14683.5,6/4/2021
His63865831593827869200,,Nifty 50,7-Apr-21,14716.45,14879.8,14649.85,14819.05,7/4/2021
His63865831593827869200,,Nifty 50,8-Apr-21,14875.65,14984.15,14821.1,14873.8,8/4/2021
His63865831593827869200,,Nifty 50,9-Apr-21,14882.65,14918.45,14785.65,14834.85,9/4/2021
His63865831593827869200,,Nifty 50,12-Apr-21,14644.65,14652.5,14248.7,14310.8,12/4/2021
His63865831593827869200,,Nifty 50,13-Apr-21,14364.9,14528.9,14274.9,14504.8,13/04/2021
His63865831593827869200,,Nifty 50,15-Apr-21,14522.4,14597.55,14353.2,14581.45,15/04/2021
His63865831593827869200,,Nifty 50,16-Apr-21,14599.6,14697.7,14559,14617.85,16/04/2021
His63865831593827869200,,Nifty 50,19-Apr-21,14306.6,14382.3,14191.4,14359.45,19/04/2021
His63865831593827869200,,Nifty 50,20-Apr-21,14526.7,14526.95,14207.3,14296.4,20/04/2021
His63865831593827869200,,Nifty 50,22-Apr-21,14219.15,14424.75,14151.4,14406.15,22/04/2021
His63865831593827869200,,Nifty 50,23-Apr-21,14326.35,14461.15,14273.3,14341.35,23/04/2021
His63865831593827869200,,Nifty 50,26-Apr-21,14449.45,14557.5,14421.3,14485,26/04/2021
His63865831593827869200,,Nifty 50,27-Apr-21,14493.8,14667.55,14484.85,14653.05,27/04/2021
His63865831593827869200,,Nifty 50,28-Apr-21,14710.5,14890.25,14694.95,14864.55,28/04/2021
His63865831593827869200,,Nifty 50,29-Apr-21,14979,15044.35,14814.45,14894.9,29/04/2021
His63865831593827869200,,Nifty 50,30-Apr-21,14747.35,14855.45,14601.7,14631.1,30/04/2021
His63865831593827869200,,Nifty 50,3-May-21,14481.05,14673.85,14416.25,14634.15,3/5/2021
His63865831593827869200,,Nifty 50,4-May-21,14687.25,14723.4,14461.5,14496.5,4/5/2021
His63865831593827869200,,Nifty 50,5-May-21,14604.15,14637.9,14506.6,14617.85,5/5/2021
His63865831593827869200,,Nifty 50,6-May-21,14668.35,14743.9,14611.5,14724.8,6/5/2021
His63865831593827869200,,Nifty 50,7-May-21,14816.85,14863.05,14765.5,14823.15,7/5/2021
His63865831593827869200,,Nifty 50,10-May-21,14928.25,14966.9,14892.5,14942.35,10/5/2021
His63865831593827869200,,Nifty 50,11-May-21,14789.7,14900,14771.4,14850.75,11/5/2021
His63865831593827869200,,Nifty 50,12-May-21,14823.55,14824.05,14649.7,14696.5,12/5/2021
His63865831593827869200,,Nifty 50,14-May-21,14749.4,14749.65,14591.9,14677.8,14/05/2021
His63865831593827869200,,Nifty 50,17-May-21,14756.25,14938,14725.35,14923.15,17/05/2021
His63865831593827869200,,Nifty 50,18-May-21,15067.2,15137.25,15043.7,15108.1,18/05/2021
His63865831593827869200,,Nifty 50,19-May-21,15058.6,15133.4,15008.85,15030.15,19/05/2021
His63865831593827869200,,Nifty 50,20-May-21,15042.6,15069.8,14884.9,14906.05,20/05/2021
His63865831593827869200,,Nifty 50,21-May-21,14987.8,15190,14985.85,15175.3,21/05/2021
His63865831593827869200,,Nifty 50,24-May-21,15211.35,15256.25,15145.45,15197.7,24/05/2021
His63865831593827869200,,Nifty 50,25-May-21,15291.75,15293.85,15163.4,15208.45,25/05/2021
His63865831593827869200,,Nifty 50,26-May-21,15257.05,15319.9,15194.95,15301.45,26/05/2021
His63865831593827869200,,Nifty 50,27-May-21,15323.95,15384.55,15272.5,15337.85,27/05/2021
